date,limit_up,limit_down,up_count,down_count,flat_count,bomb_count,bomb_ratio,limit_up_strong,advance_decline,limit_ratio,gap_up_pct,total_amount,total_volume,valid_stocks,max_streak,avg_limit_vol,breadth,sentiment_score,sentiment_ma5,sentiment_ma20,market_temp,phase
2022-03-14,17,14,137,1253,8,18,0.5142857142857142,7,0.10933758978451716,1.2142857142857142,0.16952789699570817,307656215308.5,25774086150.0,1398,1,37790939.0,-0.7982832618025751,-26.15280433978232,-5.802908483962442,-0.37151419802347796,22.271988134994047,极度冰点
2022-03-15,11,45,60,1337,1,11,0.5,2,0.04487658937920718,0.24444444444444444,0.13590844062947066,355140812378.5,31995735282.0,1398,2,53611613.72727273,-0.913447782546495,-26.693650654270517,-6.783661449384647,-1.554424128344662,21.94750032758892,极度冰点
2022-03-16,55,1,1293,96,9,19,0.25675675675675674,8,13.46875,55.0,0.927038626609442,374733245956.25,32502597888.0,1398,3,53708223.8,0.8562231759656652,30.228052549199983,1.4614875476367728,-0.698307348525468,56.09841930674144,狂热
2022-03-17,43,0,1098,257,43,49,0.532608695652174,13,4.272373540856031,43.0,0.8669527896995708,401793877357.5,32596810349.0,1398,4,45938583.093023255,0.6015736766809728,24.288713576548858,2.384236013310029,1.0060501339937833,52.53503534896197,狂热
2022-03-18,40,4,1103,275,20,23,0.36507936507936506,6,4.010909090909091,10.0,0.2525035765379113,311394543860.25,27871278650.0,1398,4,44938913.125,0.592274678111588,15.82586705415278,3.4992356371697566,1.2554480141945987,47.457640091018774,狂热
2022-03-21,52,1,935,419,46,18,0.2571428571428571,18,2.231503579952267,52.0,0.5235714285714286,334388699149.5,28951186873.0,1400,1,39177550.942307696,0.36857142857142855,11.454664673010873,11.020729439728395,0.9465490536786529,44.83508015414825,狂热
2022-03-22,40,3,672,663,65,28,0.4117647058823529,14,1.0135746606334841,13.333333333333334,0.29928571428571427,322384733683.25,29210443189.0,1400,2,59389650.45,0.0064285714285714285,-0.7664197091328826,16.206175628755922,1.6249328067791164,37.50288102651338,中性
2022-03-23,31,5,652,678,70,19,0.38,9,0.9616519174041298,6.2,0.47714285714285715,311668188712.75,28071210920.0,1400,3,75963769.03225806,-0.018571428571428572,-2.580928503645815,9.644379418186762,0.5310948682928223,36.41424278589599,偏冷
2022-03-24,28,1,286,1098,16,15,0.3488372093023256,8,0.2604735883424408,28.0,0.16071428571428573,308537776546.5,27429160508.0,1400,4,74948797.96428572,-0.58,-19.075051652789284,0.971626372319134,0.011955402118612212,26.518378263271885,极度冰点
2022-03-25,37,2,602,748,49,22,0.3728813559322034,6,0.8048128342245989,18.5,0.4789135096497498,316510856530.75,27934600360.0,1399,5,66557973.783783786,-0.1043602573266619,-3.8231075631999065,-2.9581685511514033,-1.0088180546549617,35.66898124182742,极度冰点
2022-03-28,27,10,596,753,49,20,0.425531914893617,8,0.7915006640106241,2.7,0.19527896995708155,299514585085.25,27719084391.0,1398,1,58225568.03703704,-0.1123032904148784,-6.044520288640972,-6.4580055434817725,-1.142016814142552,34.336215675508754,极度冰点
2022-03-29,29,6,361,1009,28,18,0.3829787234042553,5,0.35777998017839446,4.833333333333333,0.5100143061516452,302181649202.5,27322032096.0,1398,2,54953996.10344828,-0.463519313304721,-16.070636190535616,-9.518848839762319,-2.623810796695793,28.320916544046355,极度冰点
2022-03-30,33,0,1103,260,35,22,0.4,8,4.242307692307692,33.0,0.6387696709585121,333804998741.5,29359557607.0,1398,3,52760296.93939394,0.6030042918454935,18.887964075412192,-5.2250703239507175,-1.8831021720141679,49.294785176181264,狂热
2022-03-31,28,6,624,723,51,33,0.5409836065573771,11,0.8630705394190872,4.666666666666667,0.24391988555078684,355089276919.25,32710850446.0,1398,4,90113285.25,-0.07081545064377683,0.16141474539852663,-1.3777770443131554,-1.809397240859456,38.059547420867446,中性
2022-04-01,36,9,629,725,44,10,0.21739130434782608,10,0.8675862068965517,4.0,0.15021459227467812,321993699743.25,30574353758.0,1398,5,69441543.94444445,-0.06866952789699571,-2.544440782605599,-1.1220436881942937,-1.1092378926071245,36.43613407050012,偏冷
2022-04-06,38,4,1029,345,22,22,0.36666666666666664,12,2.982608695652174,9.5,0.3173352435530086,333909042202.0,32281938684.0,1396,1,51278203.078947365,0.4899713467048711,15.490913482425068,3.185043066018914,0.48621461957577405,47.25668032266888,狂热
