factor,label,category,period,n_stocks,n_obs,ic_mean,ic_std,icir,abs_icir,ic_pos_pct,direction
tdx_add_position,加仓信号,reversal,ic_1d,1500,8224699,0.0012397205552840357,0.03372265175814668,0.03676225002040492,0.03676225002040492,0.5366666666666666,1
tdx_add_position,加仓信号,reversal,ic_5d,1500,8224699,0.010160346467008323,0.027419300766655327,0.37055454307442964,0.37055454307442964,0.7178118745830554,1
tdx_add_position,加仓信号,reversal,ic_20d,1500,8224699,0.000601873389041886,0.023173442289237706,0.025972550022117787,0.025972550022117787,0.5290193462308206,1
tdx_caishen,财神金叉,technical,ic_1d,1500,8219318,0.003937419559946642,0.030487512553872224,0.12914859987311592,0.12914859987311592,0.5808823529411765,1
tdx_caishen,财神金叉,technical,ic_5d,1500,8219318,0.003720589780004505,0.02826730721066222,0.13162165579751883,0.13162165579751883,0.5779264214046823,1
tdx_caishen,财神金叉,technical,ic_20d,1500,8219318,0.014064503788337556,0.03168903374728451,0.44382873584912536,0.44382873584912536,0.7163879598662207,1
tdx_bbiboll,BBI布林突破,momentum,ic_1d,1500,8076353,-0.0051946142462658395,0.042956302424633,-0.12092787211794616,0.12092787211794616,0.43866666666666665,1
tdx_bbiboll,BBI布林突破,momentum,ic_5d,1500,8076353,-0.02021761243987566,0.05137799772696752,-0.39350720803321115,0.39350720803321115,0.2906666666666667,1
tdx_bbiboll,BBI布林突破,momentum,ic_20d,1500,8076353,-0.022988686731362576,0.05685156517331835,-0.40436330400542175,0.40436330400542175,0.29953302201467646,1
tdx_red_line,红线斜率,momentum,ic_1d,1500,8116884,-0.012894375974447782,0.03286027323943574,-0.39240014471252765,0.39240014471252765,0.2906666666666667,1
tdx_red_line,红线斜率,momentum,ic_5d,1500,8116884,-0.03568785637180433,0.06444089324662075,-0.5538075990850078,0.5538075990850078,0.24733333333333332,1
tdx_red_line,红线斜率,momentum,ic_20d,1500,8116884,-0.0745181186468702,0.10514793411617027,-0.7086978862042176,0.7086978862042176,0.18066666666666667,1
tdx2_xg,涨停突破牛线(XG),pattern,ic_1d,1500,7451667,0.007960233353161426,0.03782035936018405,0.21047482064757114,0.21047482064757114,0.6033254156769596,1
tdx2_xg,涨停突破牛线(XG),pattern,ic_5d,1500,7451667,-0.00809492047172217,0.035710042747041926,-0.2266847040498914,0.2266847040498914,0.4251781472684085,1
tdx2_xg,涨停突破牛线(XG),pattern,ic_20d,1500,7451667,-0.008074981903191742,0.03487299426600682,-0.23155401688758914,0.23155401688758914,0.40681998413957177,1
tdx2_bb,突破55日高点(BB),momentum,ic_1d,1500,8218661,-0.0015706169634025755,0.039741524154267814,-0.039520803412214076,0.039520803412214076,0.49630127774041694,1
tdx2_bb,突破55日高点(BB),momentum,ic_5d,1500,8218661,-0.016440835624220662,0.03880071489790346,-0.4237250696921829,0.4237250696921829,0.2797579018157364,1
tdx2_bb,突破55日高点(BB),momentum,ic_20d,1500,8218661,-0.013242266082515488,0.04084312828851119,-0.32422262048522915,0.32422262048522915,0.3548821548821549,1
tdx2_t,回踩支撑(T),reversal,ic_1d,1500,8224884,0.0048949412786077305,0.03412423706753599,0.1434447096625208,0.1434447096625208,0.574,-1
tdx2_t,回踩支撑(T),reversal,ic_5d,1500,8224884,0.0024133642478427245,0.03151444717571414,0.07657961551369133,0.07657961551369133,0.536,-1
tdx2_t,回踩支撑(T),reversal,ic_20d,1500,8224884,-0.006887427668295349,0.031699583421119684,-0.217271866850674,0.217271866850674,0.378,-1
tdx2_b1,底部反转结构(B1),pattern,ic_1d,1500,8209992,0.0011928791637681412,0.03580528934395188,0.03331572473298945,0.03331572473298945,0.5336505778382054,1
tdx2_b1,底部反转结构(B1),pattern,ic_5d,1500,8209992,-0.008439779742754621,0.03553733896843159,-0.23749048149755442,0.23749048149755442,0.38393464942137506,1
tdx2_b1,底部反转结构(B1),pattern,ic_20d,1500,8209992,-0.008572803700094403,0.03267079894972586,-0.2623995731872464,0.2623995731872464,0.39059304703476483,1
tdx2_final,终极选股(XG+B1),pattern,ic_1d,1500,5653300,0.0031934996877690347,0.03470024321221531,0.09203104624479538,0.09203104624479538,0.5575027382256298,1
tdx2_final,终极选股(XG+B1),pattern,ic_5d,1500,5653300,-0.005574749385383064,0.031219497360758828,-0.17856627609867334,0.17856627609867334,0.43029637760702527,1
tdx2_final,终极选股(XG+B1),pattern,ic_20d,1500,5653300,-0.006774658944535289,0.029329415042190624,-0.2309851367574117,0.2309851367574117,0.4066298342541437,1
tdx2_bull_line,牛线位置,momentum,ic_1d,1500,8134548,-0.03247554843664484,0.04158882492854303,-0.7808719888682497,0.7808719888682497,0.1561040693795864,1
tdx2_bull_line,牛线位置,momentum,ic_5d,1500,8134548,-0.06460925341881527,0.07904574946552788,-0.8173653087695952,0.8173653087695952,0.15076717811874582,1
tdx2_bull_line,牛线位置,momentum,ic_20d,1500,8134548,-0.10695278207171312,0.13877285494606828,-0.7707039111739721,0.7707039111739721,0.17222963951935916,1
