pnl,days,reason,code,ed
0.02570165833711949,1,+5%回1%半,600161,20250409
0.01411601544752382,2,回落3%,600161,20250410
-0.0553423692174665,4,-5%止损,600161,20250415
-0.029387167070217837,5,时间5天,600161,20250801
-0.032564803410705834,5,时间5天,600161,20250812
-0.013836162005785826,5,时间5天,600161,20250813
-0.009310680907877157,4,回落3%,600183,20241213
-0.07115525487728137,1,-5%止损,600184,20250514
0.012458614232209791,1,+5%回1%半,600184,20250627
0.038051622971285955,3,+7%回2%清,600184,20250701
0.019856634499396963,2,+5%回1%半,600184,20250701
0.0008578407720144969,3,回落3%,600184,20250702
0.053215979381443304,1,+5%回1%半,600184,20251211
0.024350000000000063,2,+7%回2%清,600184,20251212
-0.10473309859154921,1,-5%止损,600184,20251212
0.018970667102681537,2,+5%回1%半,600188,20260210
0.0667142903858732,5,+7%回2%清,600188,20260213
0.05490555555555552,1,+5%回1%半,600196,20241008
0.008862937595129376,2,+7%回2%清,600196,20241009
0.017819154607768443,8,+5%回1%半,600196,20250729
0.03952517136329017,9,+7%回2%清,600196,20250730
-0.0634468926553671,4,-5%止损,600197,20241114
-0.024311176857330793,5,时间5天,600197,20250730
0.040613700838168905,6,+5%回1%半,600197,20250820
0.02352794970986466,7,+7%回2%清,600197,20250821
-0.0018263157894737665,2,回落3%,600206,20250627
-0.05147921146953407,4,-5%止损,600206,20250702
0.014144082367053147,1,+5%回1%半,600206,20260302
-0.018043042782886865,2,回落3%,600206,20260303
-0.01104358974358981,2,回落3%,600211,20250320
-0.028104123711340186,5,时间5天,600211,20250326
-0.06427822248381392,1,-5%止损,600216,20241010
-0.053415266707541265,5,-5%止损,600216,20250807
0.01313205128205133,2,+5%回1%半,600216,20260211
0.003516666666666692,5,回落3%,600216,20260224
0.01933141263940519,5,+5%回1%半,600233,20260423
0.008876022304832717,6,回落3%,600233,20260424
-0.01927175866495503,3,回落3%,600258,20241216
-0.03461238214959141,5,时间5天,600258,20241219
-0.0044094527363182315,1,回落3%,600258,20251112
-0.01858395061728391,5,时间5天,600258,20251119
0.049699650349650334,1,+5%回1%半,600259,20241008
0.001273076923076913,2,+7%回2%清,600259,20241009
-0.1307724075197088,1,-5%止损,600259,20241009
0.042064377820760834,5,+5%回1%半,600259,20250312
