,date,open,high,low,close,volume,amount,outstanding_share,turnover
143,2020-08-06,5.18,5.22,5.05,5.16,58769208.0,429967614.0,2300759051.0,0.02554339967692688
144,2020-08-07,5.13,5.13,4.92,5.01,59237671.0,424119121.0,2300759051.0,0.025747012045547746
145,2020-08-10,4.98,5.16,4.95,5.08,48583062.0,352151201.0,2300759051.0,0.021116101653010512
146,2020-08-11,5.09,5.11,4.94,4.94,43543208.0,311684549.0,2300759051.0,0.018925583702941173
147,2020-08-12,4.95,5.0,4.87,5.0,44903963.0,315895529.0,2300759051.0,0.019517021124173337
148,2020-08-13,5.02,5.04,4.96,4.99,32985845.0,235155293.0,2300759051.0,0.014336940230948156
149,2020-08-14,4.98,5.09,4.97,5.08,41830898.0,301323130.0,2300759051.0,0.018181346708956183
150,2020-08-17,5.1,5.3,5.06,5.3,76643437.0,567921990.0,2300759051.0,0.033312239700497
151,2020-08-18,5.27,5.31,5.16,5.27,67636607.0,504531888.0,2300759051.0,0.029397518601785997
152,2020-08-19,5.22,5.25,5.05,5.05,55181922.0,404157308.0,2300759051.0,0.023984224674033456
153,2020-08-20,5.03,5.34,5.0,5.12,70977551.0,526985423.0,2300759051.0,0.030849623722723322
154,2020-08-21,5.16,5.21,5.1,5.16,40594627.0,298156999.0,2300759051.0,0.01764401490992983
155,2020-08-24,5.2,5.29,5.06,5.21,68938102.0,513027265.0,2300759051.0,0.02996319930591463
156,2020-08-25,5.23,5.57,5.2,5.49,147912460.0,1141760069.0,2300759051.0,0.06428854857083424
157,2020-08-26,5.51,5.67,5.35,5.46,122261728.0,957413609.0,2300759051.0,0.0531397357523641
158,2020-08-27,5.4,5.64,5.33,5.61,113642560.0,893761249.0,2300759051.0,0.04939350774284969
159,2020-08-28,5.54,5.69,5.5,5.61,99629487.0,794525824.0,2300759051.0,0.043302877351149446
160,2020-08-31,5.62,5.65,5.35,5.39,116520205.0,913095962.0,2300759051.0,0.050644244971830385
161,2020-09-01,5.35,5.39,5.22,5.39,77089064.0,582092935.0,2300759051.0,0.03350592664907439
162,2020-09-02,5.37,5.74,5.32,5.7,156045990.0,1242792802.0,2300759051.0,0.06782369928401512
163,2020-09-03,5.67,5.67,5.53,5.58,103726111.0,826532700.0,2300759051.0,0.045083430598661156
164,2020-09-04,5.49,5.77,5.46,5.74,129166860.0,1039261083.0,2300759051.0,0.056140976580689325
165,2020-09-07,5.74,6.0,5.67,5.77,192572056.0,1599726715.0,2300759051.0,0.08369935822540854
166,2020-09-08,5.75,5.98,5.72,5.98,152695652.0,1279257863.0,2300759051.0,0.06636751116273236
167,2020-09-09,5.91,5.94,5.55,5.56,159186255.0,1314143341.0,2300759051.0,0.06918858145133078
168,2020-09-10,5.66,5.67,4.98,5.01,149633537.0,1125863578.0,2300759051.0,0.06503659604640626
169,2020-09-11,4.97,5.16,4.94,5.1,62569065.0,451695916.0,2300759051.0,0.027194966362429403
170,2020-09-14,5.17,5.34,5.11,5.31,76638951.0,574403144.0,2300759051.0,0.03331028990918876
